name,team,result
349,rennsemmeln,3
350,rennsemmeln,4
351,rennsemmeln,4
352,rennsemmeln,7
353,rennsemmeln,4.5
354,rennsemmeln,5
355,rennsemmeln,4
356,rennsemmeln,3.5
357,rennsemmeln,4
358,rennsemmeln,6
359,rennsemmeln,4
232,grunwald,2.5
248,grunwald,2
247,grunwald,3
236,grunwald,3.5
249,grunwald,3
246,grunwald,3.5
244,grunwald,3.5
245,grunwald,3.5
340,jahn speedies junior zwei,3.5
341,jahn speedies junior zwei,2.5
342,jahn speedies junior zwei,3
343,jahn speedies junior zwei,3
344,jahn speedies junior zwei,5
345,jahn speedies junior zwei,3.5
346,jahn speedies junior zwei,4.5
347,jahn speedies junior zwei,4.5
348,jahn speedies junior zwei,2.5
394,jahn speedies junior 11,5.5
226,psv panther,4.5
227,psv panther,4
228,psv panther,3.5
229,psv panther,4.5
230,psv panther,3.5
231,psv panther,3.5
395,psv panther,5
310,seminargruppe horizontale sprunge,3
311,seminargruppe horizontale sprunge,4
313,seminargruppe horizontale sprunge,4.5
314,seminargruppe horizontale sprunge,5.5
315,seminargruppe horizontale sprunge,4.5
316,seminargruppe horizontale sprunge,4.5
317,seminargruppe horizontale sprunge,4.5
318,seminargruppe horizontale sprunge,2.5
319,seminargruppe horizontale sprunge,4.5
393,seminargruppe horizontale sprunge,4
300,master of health science,5
301,master of health science,4
302,master of health science,4.5
303,master of health science,4.5
304,master of health science,5.5
305,master of health science,4
306,master of health science,6
307,master of health science,5.5
308,master of health science,5.5
309,master of health science,6
331,jahn speedies junior eins,4.5
332,jahn speedies junior eins,3
333,jahn speedies junior eins,4
334,jahn speedies junior eins,4
335,jahn speedies junior eins,3.5
336,jahn speedies junior eins,4
337,jahn speedies junior eins,4
338,jahn speedies junior eins,3.5
339,jahn speedies junior eins,3.5
381,psv leoparden,5
382,psv leoparden,5.5
383,psv leoparden,3
384,psv leoparden,2.5
385,psv leoparden,3.5
386,psv leoparden,3
387,psv leoparden,2
392,psv leoparden,3.5
360,turbo tiger,4
361,turbo tiger,5
362,turbo tiger,5.5
363,turbo tiger,3.5
364,turbo tiger,3.5
365,turbo tiger,3.5
366,turbo tiger,5.5
367,turbo tiger,5.5
368,turbo tiger,3.5
369,turbo tiger,4
178,renngeisis zwei,6
179,renngeisis zwei,7.5
180,renngeisis zwei,5
181,renngeisis zwei,5
182,renngeisis zwei,5
183,renngeisis zwei,5.5
184,renngeisis zwei,3.5
185,renngeisis zwei,4.5
186,renngeisis zwei,4.5
271,hasen und igel,4
272,hasen und igel,3.5
273,hasen und igel,2.5
274,hasen und igel,2.5
275,hasen und igel,3.5
276,hasen und igel,3.5
277,hasen und igel,3.5
396,hasen und igel,2.5
278,bunte hunde,4.5
279,bunte hunde,3
280,bunte hunde,4
281,bunte hunde,2.5
282,bunte hunde,4.5
283,bunte hunde,4
284,bunte hunde,5
397,bunte hunde,3.5
370,mini adler,3.5
371,mini adler,4
372,mini adler,3
373,mini adler,3.5
374,mini adler,2
375,mini adler,3.5
376,mini adler,4
377,mini adler,3.5
378,mini adler,4.5
379,mini adler,4
380,mini adler,2
